Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Zach Bogosian,35,D,MIN,"$1,250,000",14.35,0.05,1.59,76,76,14.35,0.05,1.59,15.99,3,10,13,0,0,0,0,0,0,83,82,40,0,17100174,74,-1,-452,444,-205,3420164,8474567,,,
Derek Forbort,33,D,VAN,"$2,000,000",14.82,0.07,2.39,70,70,14.82,0.07,2.39,17.28,3,10,13,0,0,0,0,1,1,85,104,37,0,23669026,49,-1,-456,447,-209,4733922,8475762,,,
Johnathan Kovacevic,28,D,NJ,"$4,000,000",16.87,0.10,2.34,55,55,16.87,0.10,2.34,19.31,3,10,13,0,0,0,0,0,0,63,69,37,0,18188638,52,6,-582,523,-335,3637831,8480192,,,
Ryan Johnson,24,D,BUF,"$775,000",13.95,0.16,0.12,62,62,13.95,0.16,0.12,14.23,2,11,13,0,1,1,0,0,0,9,58,15,0,1051714,56,1,-832,668,-585,210441,8481564,,,
Kaedan Korczak,25,D,VGK,"$825,000",14.97,0.10,0.25,50,50,14.97,0.10,0.25,15.32,2,11,13,0,0,0,0,0,0,70,51,9,0,1747972,47,6,-810,658,-563,349701,8481527,,,
Parker Wotherspoon,28,D,PIT,"$1,000,000",16.49,0.14,1.46,61,61,16.49,0.14,1.46,18.09,2,11,13,0,1,1,0,0,0,78,78,17,0,12566635,49,-2,-657,570,-410,2513442,8478450,,,
Scott Mayfield,33,D,NYI,"$3,500,000",15.48,0.04,1.87,68,68,15.48,0.04,1.87,17.39,2,11,13,0,0,0,0,1,1,86,116,34,0,17933285,55,-2,-434,429,-187,3586785,8476429,,,
Alex Pietrangelo,36,D,VGK,"$8,800,000",19.33,1.12,2.17,25,25,19.33,1.12,2.17,22.63,2,11,13,0,2,2,0,0,0,15,52,6,0,7673821,46,2,-902,687,-655,1534858,8474565,,,
Jarred Tinordi,33,D,CGY,$1,14.18,0.15,1.55,70,70,14.18,0.15,1.55,15.88,1,12,13,0,1,1,0,1,1,174,103,56,0,15341858,41,-15,-187,265,60,3068486,8475797,,,
William Lockwood,27,RW,FLA,$1,8.29,0.00,0.27,62,62,8.29,0.00,0.27,8.56,5,7,12,0,0,0,0,0,0,121,21,18,9,2365752,50,0,-821,663,-488,473256,8479367,,,
Phillip Di Giuseppe,32,LW,WPG,"$775,000",10.79,0.08,0.86,42,42,10.79,0.08,0.86,11.72,5,7,12,0,0,0,0,0,0,91,16,12,1,5076288,47,-1,-943,702,-599,1015352,8476858,,,
Matthew Highmore,29,C,OTT,"$775,000",9.67,0.00,1.36,54,54,9.67,0.00,1.36,11.03,5,7,12,0,0,0,0,1,1,63,27,11,6,10377265,47,-2,-1137,746,-626,2075546,8478146,,,
David Gustafsson,25,C,WPG,"$835,000",8.87,0.22,0.43,50,50,8.87,0.22,0.43,9.53,5,7,12,0,1,1,0,0,0,29,24,8,122,3039372,44,1,-1218,760,-706,607988,8481019,,,
Liam O'Brien,31,"LW,RW",UTA,"$1,000,000",9.20,0.10,0.38,55,55,9.20,0.10,0.38,9.68,5,7,12,0,0,0,0,0,0,179,23,58,1,2991568,53,-1,-449,441,-117,598415,8477070,,,
Max Jones,27,LW,EDM,"$1,000,000",9.81,0.61,0.06,45,45,9.81,0.61,0.06,10.47,5,7,12,1,1,2,0,0,0,108,14,21,1,380111,47,-4,-836,670,-492,76116,8479368,,,
Tomas Nosek,33,LW,FLA,"$775,000",8.64,0.17,1.20,60,60,8.64,0.17,1.20,10.01,4,8,12,0,0,0,0,1,1,73,26,15,196,10178250,51,-1,-925,697,-580,2035794,8477931,,,
