Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Connor McDavid,29,C,EDM,"$12,500,000",18.65,3.50,0.23,77,77,18.65,3.50,0.23,22.38,36,91,127,10,36,46,0,0,0,66,32,28,430,2467336,239,32,900,3,1412,494167,8478402,,,Use the button below to reset the TOI for the Skater Projections
Nathan MacKinnon,30,C,COL,"$12,600,000",18.69,3.68,0.06,80,80,18.69,3.68,0.06,22.43,39,76,115,9,26,35,0,0,0,44,61,32,687,707742,313,26,880,4,1392,142346,8477492,,,
Nikita Kucherov,32,RW,TB,"$9,500,000",17.30,3.59,0.01,78,78,17.30,3.59,0.01,20.90,34,80,114,8,35,43,0,0,0,32,34,30,1,110195,244,16,901,2,1234,22588,8476453,,,
Leon Draisaitl,30,"C,LW",EDM,"$14,000,000",18.14,3.40,0.19,78,78,18.14,3.40,0.19,21.73,46,64,110,19,21,40,0,0,0,38,33,36,701,2088794,227,28,871,5,1216,418472,8477934,,,
David Pastrnak,29,RW,BOS,"$11,250,000",16.49,3.30,0.03,82,82,16.49,3.30,0.03,19.83,45,54,99,11,18,29,0,0,0,65,26,32,4,401828,315,11,825,6,1157,80945,8477956,,,
Kirill Kaprizov,28,LW,MIN,"$9,000,000",18.85,3.65,0.02,77,77,18.85,3.65,0.02,22.51,46,52,98,16,20,36,0,0,0,43,37,31,0,196844,265,15,784,8,1128,39911,8478864,,,
Jack Hughes,24,"C,LW",NJ,"$8,000,000",17.23,3.22,0.60,77,77,17.23,3.22,0.60,21.04,36,60,96,9,27,36,0,1,1,12,38,13,267,6483901,285,10,607,17,952,1297392,8481559,,,
Artemi Panarin,34,LW,NYR,"$11,642,857",16.25,2.98,0.01,79,79,16.25,2.98,0.01,19.25,35,58,93,8,23,31,0,0,0,20,13,21,1,111637,223,2,407,44,752,22788,8478550,,,
Mitch Marner,28,RW,VGK,"$12,000,000",16.16,2.89,2.09,78,78,16.16,2.89,2.09,21.14,26,65,91,6,23,29,2,1,3,51,48,19,6,23037573,162,11,377,50,709,4607933,8478483,,,Use the button below to reset the GP for the Skater Projections
Auston Matthews,28,C,TOR,"$13,250,000",16.04,2.92,1.28,78,78,16.04,2.92,1.28,20.24,48,41,89,14,12,26,1,0,1,63,95,16,655,14091648,300,15,586,18,1098,2819075,8479318,,,
William Nylander,29,"C,RW",TOR,"$11,500,000",16.00,3.07,0.23,82,82,16.00,3.07,0.23,19.30,38,48,86,9,19,28,0,0,0,18,29,21,68,2622310,248,-1,420,41,753,524951,8477939,,,
Jason Robertson,26,"LW,RW",DAL,"$7,750,000",15.02,2.96,0.00,82,82,15.02,2.96,0.00,17.98,34,51,85,11,19,30,0,0,0,62,38,18,5,34546,215,10,447,34,779,7371,8480027,,,
Cale Makar,27,D,COL,"$9,000,000",19.74,3.67,2.21,79,79,19.74,3.67,2.21,25.62,24,61,85,8,25,33,1,1,2,48,124,19,0,24631899,237,18,789,7,1036,4926888,8480069,,,
Mikko Rantanen,29,"LW,RW",DAL,"$12,000,000",17.47,3.72,0.02,78,78,17.47,3.72,0.02,21.22,36,48,84,11,18,29,0,0,0,50,44,50,156,253425,214,10,632,14,965,51166,8478420,,,
Sidney Crosby,38,C,PIT,"$8,700,000",16.75,2.99,0.07,79,79,16.75,2.99,0.07,19.82,33,51,84,9,13,22,0,0,0,70,41,32,935,819561,218,0,279,74,791,164588,8471675,,,
Clayton Keller,27,"LW,RW",UTA,"$7,150,000",15.87,3.29,0.08,80,80,15.87,3.29,0.08,19.24,32,50,82,8,21,29,0,0,0,15,32,28,14,932682,207,-3,356,56,689,186959,8479343,,,
Tim Stutzle,24,"C,LW",OTT,"$8,350,000",16.63,3.43,0.25,82,82,16.63,3.43,0.25,20.30,27,54,81,6,23,29,0,0,0,127,48,34,208,2860300,176,1,544,24,889,572529,8482116,,,
Quinn Hughes,26,D,VAN,"$7,850,000",21.68,3.69,0.35,76,76,21.68,3.69,0.35,25.71,15,66,81,4,30,34,0,0,0,19,73,31,0,3712622,200,19,567,22,814,742950,8480800,,,
Sebastian Aho (F),28,C,CAR,"$9,750,000",14.82,3.29,1.69,78,78,14.82,3.29,1.69,19.80,33,47,80,8,17,25,2,1,3,57,28,34,580,18629855,204,15,213,87,725,3726539,8478427,,,
Kyle Connor,29,LW,WPG,"$7,142,857",16.62,2.77,0.62,80,80,16.62,2.77,0.62,20.02,36,43,79,8,16,24,1,0,1,24,36,16,1,7058662,235,0,272,76,616,1412180,8478398,,,
Jesper Bratt,27,"LW,RW",NJ,"$7,875,000",14.68,2.81,1.28,81,81,14.68,2.81,1.28,18.77,26,53,79,6,22,28,1,1,2,81,40,11,1,14691090,191,5,301,67,634,2938641,8479407,,,
Robert Thomas,26,C,STL,"$8,125,000",16.28,2.49,1.35,80,80,16.28,2.49,1.35,20.12,24,55,79,5,17,22,1,0,1,16,52,27,725,15315107,148,11,-13,171,499,3063562,8480023,,,
Filip Forsberg,31,LW,NSH,"$8,500,000",15.15,3.02,0.02,82,82,15.15,3.02,0.02,18.19,35,43,78,9,16,25,0,0,0,145,47,36,5,288364,271,-2,711,12,1055,58175,8476887,,,
Brandon Hagel,27,"LW,RW",TB,"$6,500,000",16.08,2.43,1.86,82,82,16.08,2.43,1.86,20.36,34,44,78,4,9,13,2,2,4,62,57,54,11,21508715,196,19,436,35,769,4302150,8479542,,,
Jack Eichel,29,C,VGK,"$10,000,000",15.95,2.79,1.51,77,77,15.95,2.79,1.51,20.25,30,48,78,5,18,23,1,1,2,31,64,12,480,16383013,238,13,134,117,645,3277185,8478403,,,
Brayden Point,29,C,TB,"$9,500,000",15.96,3.30,0.02,77,77,15.96,3.30,0.02,19.29,39,38,77,14,12,26,0,0,0,26,43,9,384,250439,184,6,5,156,517,50596,8478010,,,
Macklin Celebrini,19,C,SJ,"$975,000",17.05,3.35,0.17,80,80,17.05,3.35,0.17,20.58,34,43,77,11,15,26,0,0,0,43,62,31,566,1923832,278,-18,385,47,897,385389,8484801,,,
Connor Bedard,20,"C,RW",CHI,"$950,000",18.02,3.15,0.05,82,82,18.02,3.15,0.05,21.22,31,46,77,10,18,28,0,0,0,54,39,51,258,540155,227,-31,574,21,907,108507,8484144,,,
Nick Suzuki,26,C,MTL,"$7,875,000",16.24,3.33,0.76,82,82,16.24,3.33,0.76,20.32,28,48,76,7,18,25,1,0,1,61,62,18,639,8805807,164,1,87,130,599,1761711,8480018,,,
Matt Boldy,24,"LW,RW",MIN,"$7,000,000",16.67,3.24,0.30,82,82,16.67,3.24,0.30,20.21,34,41,75,9,15,24,0,0,0,54,56,44,56,3526419,261,3,581,20,913,705761,8481557,,,
Dylan Larkin,29,C,DET,"$8,700,000",15.60,2.99,1.21,80,80,15.60,2.99,1.21,19.80,33,42,75,14,15,29,1,0,1,45,36,34,726,13663806,221,0,252,79,764,2733369,8477946,,,
Sam Reinhart,30,"C,RW",FLA,"$8,625,000",15.33,3.13,1.62,80,80,15.33,3.13,1.62,20.08,37,37,74,13,11,24,2,1,3,91,62,17,182,18324487,203,14,382,48,714,3665387,8477933,,,
Jake Guentzel,31,LW,TB,"$9,000,000",15.95,3.23,0.36,77,77,15.95,3.23,0.36,19.54,34,40,74,10,13,23,0,0,0,40,45,25,123,3918445,203,15,266,77,611,784136,8477404,,,
Nico Hischier,27,C,NJ,"$7,250,000",15.34,2.85,1.88,77,77,15.34,2.85,1.88,20.06,33,41,74,11,12,23,1,1,2,44,59,14,832,20420072,193,7,51,138,562,4084637,8480002,,,
Travis Konecny,28,"LW,RW",PHI,"$8,750,000",16.36,2.72,1.30,82,82,16.36,2.72,1.30,20.38,30,44,74,7,9,16,2,1,3,90,43,59,38,15103756,212,-2,502,26,835,3021159,8478439,,,
Lucas Raymond,23,RW,DET,"$8,075,000",15.30,3.02,0.54,82,82,15.30,3.02,0.54,18.87,29,45,74,8,20,28,0,1,1,49,34,20,2,6266387,178,-6,232,83,565,1253662,8482078,,,
Mark Scheifele,32,C,WPG,"$8,500,000",17.15,2.69,0.13,80,80,17.15,2.69,0.13,19.96,33,40,73,8,11,19,0,0,0,67,52,47,574,1416724,165,3,179,99,691,283855,8476460,,,
Wyatt Johnston,22,"C,RW",DAL,"$8,400,000",14.72,2.90,1.34,82,82,14.72,2.90,1.34,18.97,36,36,72,11,11,22,1,1,2,46,47,24,372,15589470,207,0,273,75,605,3118399,8482740,,,
Kevin Fiala,29,LW,LA,"$7,875,000",15.24,2.91,0.02,81,81,15.24,2.91,0.02,18.17,30,42,72,10,16,26,0,0,0,63,26,41,13,228926,227,11,412,43,757,46209,8477942,,,
Roman Josi,35,D,NSH,"$9,059,000",20.38,3.34,1.14,77,77,20.38,3.34,1.14,24.86,18,54,72,6,22,28,0,1,1,54,139,30,0,12434388,229,-8,715,11,962,2487330,8474600,,,
Zach Werenski,28,D,CBJ,"$9,583,333",22.24,2.67,1.50,80,80,22.24,2.67,1.50,26.40,19,52,71,3,18,21,0,1,1,22,142,27,0,16909716,260,2,615,16,862,3382414,8478460,,,
Evan Bouchard,26,D,EDM,"$10,500,000",19.89,3.26,0.28,81,81,19.89,3.26,0.28,23.43,15,56,71,5,22,27,0,0,0,43,106,29,0,3152736,215,23,548,23,795,630981,8480803,,,
Erik Karlsson,35,D,PIT,"$11,500,000",20.14,2.85,0.62,82,82,20.14,2.85,0.62,23.60,14,57,71,3,21,24,0,0,0,30,97,27,0,7126603,188,-13,400,45,647,1425701,8474578,,,
Adam Fox,27,D,NYR,"$9,500,000",18.35,2.97,1.89,78,78,18.35,2.97,1.89,23.21,13,58,71,3,25,28,1,1,2,37,118,32,0,20802303,138,5,454,33,701,4160817,8479323,,,
Tage Thompson,28,"C,RW",BUF,"$7,142,857",15.55,2.77,0.28,75,75,15.55,2.77,0.28,18.60,36,34,70,9,10,19,0,0,0,70,32,30,304,2949409,234,2,311,66,644,590384,8479420,,,
J.T. Miller,32,"C,RW",NYR,"$8,000,000",14.05,2.90,1.10,77,77,14.05,2.90,1.10,18.04,24,46,70,6,18,24,1,1,2,179,52,47,578,11939767,146,2,531,25,864,2388466,8476468,,,
Jordan Kyrou,27,RW,STL,"$8,125,000",15.28,2.33,0.01,82,82,15.28,2.33,0.01,17.61,33,36,69,8,11,19,0,0,0,41,36,20,5,110911,228,5,179,100,511,22600,8479385,,,
Martin Necas,27,RW,COL,"$6,500,000",15.38,3.25,0.10,78,78,15.38,3.25,0.10,18.73,26,43,69,9,17,26,0,0,0,64,27,27,66,1123987,203,2,259,78,591,225207,8480039,,,
Mathew Barzal,28,"C,RW",NYI,"$9,150,000",17.21,2.78,0.04,78,78,17.21,2.78,0.04,20.02,21,48,69,4,15,19,0,0,0,56,56,23,67,389396,193,10,179,98,512,78281,8478445,,,
Adrian Kempe,29,RW,LA,"$5,500,000",14.78,2.67,1.44,80,80,14.78,2.67,1.44,18.89,33,35,68,8,13,21,1,1,2,103,37,44,9,16252058,228,10,462,32,794,3250838,8477960,,,
Dylan Strome,28,C,WSH,"$5,000,000",14.34,2.86,0.03,82,82,14.34,2.86,0.03,17.23,25,43,68,6,18,24,0,0,0,22,55,25,638,313655,146,-6,-72,207,440,63224,8478440,,,
Brady Tkachuk,26,"C,LW",OTT,"$8,205,714",15.05,3.26,0.03,75,75,15.05,3.26,0.03,18.33,34,33,67,13,10,23,0,0,0,239,31,101,191,315993,291,7,1176,1,1521,63730,8480801,,,
Matvei Michkov,21,RW,PHI,"$950,000",14.34,2.96,0.02,80,80,14.34,2.96,0.02,17.32,30,37,67,9,11,20,0,0,0,30,25,41,20,226272,204,0,210,89,542,45628,8484387,,,
Carter Verhaeghe,30,LW,FLA,"$7,000,000",15.12,2.53,0.02,80,80,15.12,2.53,0.02,17.66,30,37,67,7,10,17,0,0,0,79,28,38,19,226093,228,11,281,73,625,45631,8477409,,,
Mika Zibanejad,32,"C,RW",NYR,"$8,500,000",13.78,2.77,1.91,82,82,13.78,2.77,1.91,18.46,25,42,67,10,15,25,1,3,4,48,50,21,476,22172603,187,-9,193,94,525,4435015,8476459,,,
Elias Pettersson (F),27,"C,LW",VAN,"$11,600,000",14.94,3.11,0.84,78,78,14.94,3.11,0.84,18.88,25,42,67,7,13,20,1,0,1,92,83,14,487,9270810,161,5,193,92,537,1854664,8480012,,,
John Tavares,35,C,TOR,"$4,388,420",14.96,2.68,0.02,76,76,14.96,2.68,0.02,17.66,32,34,66,11,11,22,0,0,0,98,41,33,710,183222,200,-1,155,109,667,37217,8475166,,,
Alex Tuch,29,RW,BUF,"$4,750,000",14.71,2.28,1.93,81,81,14.71,2.28,1.93,18.92,32,34,66,5,8,13,3,0,3,69,93,37,49,22034164,192,3,325,60,657,4407236,8477949,,,
Drake Batherson,27,"LW,RW",OTT,"$4,975,000",14.93,3.13,0.01,82,82,14.93,3.13,0.01,18.07,26,40,66,11,15,26,0,0,0,135,33,30,16,170155,192,-6,375,51,707,34427,8480208,,,
Nick Schmaltz,29,"C,RW",UTA,"$5,850,000",14.95,3.10,0.46,82,82,14.95,3.10,0.46,18.52,24,42,66,9,12,21,0,1,1,15,43,15,159,5367198,162,-3,-27,177,305,1073819,8477951,,,
Lane Hutson,21,D,MTL,"$950,000",19.67,3.33,0.23,82,82,19.67,3.33,0.23,23.23,9,57,66,2,25,27,0,0,0,40,124,32,0,2666633,109,-6,359,54,606,533639,8483457,,,
Alex DeBrincat,28,"LW,RW",DET,"$7,875,000",14.86,2.86,0.02,82,82,14.86,2.86,0.02,17.74,32,33,65,12,13,25,0,0,0,50,39,29,22,276179,224,-8,290,71,623,55645,8479337,,,
Logan Cooley,21,C,UTA,"$950,000",14.75,2.85,0.93,78,78,14.75,2.85,0.93,18.53,27,38,65,8,14,22,1,0,1,62,33,32,330,10291542,169,-4,-15,172,497,2058738,8483431,,,
Josh Morrissey,30,D,WPG,"$6,250,000",20.82,2.90,0.57,80,80,20.82,2.90,0.57,24.30,13,52,65,3,20,23,0,0,0,56,115,31,0,6497504,175,12,433,36,680,1299879,8477504,,,
Cole Caufield,25,"LW,RW",MTL,"$7,850,000",15.25,3.10,0.01,82,82,15.25,3.10,0.01,18.36,35,29,64,10,9,19,0,0,0,61,28,13,6,91233,245,-1,144,114,477,18674,8481540,,,
Alex Ovechkin,40,"LW,RW",WSH,"$9,500,000",13.58,3.88,0.03,72,72,13.58,3.88,0.03,17.50,35,29,64,11,11,22,0,0,0,129,19,20,0,311370,231,-3,296,70,628,62700,8471214,,,
Dylan Guenther,22,RW,UTA,"$7,142,875",13.56,3.31,0.34,76,76,13.56,3.31,0.34,17.22,31,33,64,15,13,28,0,0,0,59,44,24,10,3668210,212,-5,290,72,623,734047,8482699,,,
Seth Jarvis,23,"C,LW,RW",CAR,"$7,420,087",14.44,3.30,1.71,77,77,14.44,3.30,1.71,19.46,31,33,64,9,10,19,2,1,3,98,52,15,56,18641096,197,13,187,95,519,3728638,8482093,,,
Nazem Kadri,35,C,CGY,"$7,000,000",15.81,2.73,0.10,82,82,15.81,2.73,0.10,18.64,29,35,64,8,10,18,0,0,0,62,30,49,616,1114735,248,-8,181,97,693,223502,8475172,,,
Steven Stamkos,35,"C,LW,RW",NSH,"$8,000,000",14.48,3.04,0.05,81,81,14.48,3.04,0.05,17.58,27,37,64,12,14,26,0,0,0,69,46,38,373,606142,181,-11,312,65,644,121683,8474564,,,
Matt Duchene,35,"C,RW",DAL,"$4,500,000",14.37,2.30,0.09,81,81,14.37,2.30,0.09,16.76,24,40,64,5,12,17,0,0,0,30,33,17,377,986588,145,6,-109,232,223,197730,8475168,,,
Ivan Demidov,20,RW,MTL,"$940,833",14.50,3.00,0.00,76,76,14.50,3.00,0.00,17.50,26,37,63,6,13,19,0,0,0,37,25,43,0,0,177,3,130,118,463,334,8484984,,,
Brad Marchand,37,LW,FLA,"$5,250,000",13.58,2.95,1.40,79,79,13.58,2.95,1.40,17.94,26,37,63,8,15,23,1,1,2,89,35,60,7,15646428,187,-2,413,42,757,3129641,8473419,,,
Nikolaj Ehlers,29,"LW,RW",CAR,"$8,500,000",13.15,2.39,0.02,78,78,13.15,2.39,0.02,15.56,25,38,63,6,13,19,0,0,0,43,35,19,5,196965,197,6,46,140,378,39764,8477940,,,
Vincent Trocheck,32,C,NYR,"$5,625,000",15.86,2.70,1.93,82,82,15.86,2.70,1.93,20.48,24,39,63,8,8,16,2,1,3,196,76,46,735,22305821,190,-4,368,52,879,4461744,8476389,,,
Anze Kopitar,38,C,LA,"$7,000,000",14.82,2.63,1.28,80,80,14.82,2.63,1.28,18.74,20,43,63,4,14,18,0,1,1,36,67,9,738,14515062,105,9,-320,354,192,2903495,8471685,,,
Rasmus Dahlin,25,D,BUF,"$11,000,000",20.53,3.10,0.83,76,76,20.53,3.10,0.83,24.46,16,47,63,5,17,22,0,0,0,107,114,56,0,8894477,199,3,706,13,953,1779289,8480839,,,
Victor Hedman,35,D,TB,"$8,000,000",18.59,3.02,1.73,76,76,18.59,3.02,1.73,23.35,13,50,63,4,22,26,0,1,1,44,121,35,0,18582091,170,7,464,31,711,3716787,8475167,,,
Shea Theodore,30,D,VGK,"$7,425,000",19.14,2.72,0.14,78,78,19.14,2.72,0.14,22.00,9,54,63,3,20,23,0,0,0,11,108,20,0,1538267,151,9,193,93,440,307993,8477447,,,
Miro Heiskanen,26,D,DAL,"$8,450,000",20.90,3.49,0.74,79,79,20.90,3.49,0.74,25.13,11,51,62,2,24,26,0,0,0,31,121,23,0,8237997,175,10,359,53,606,1647973,8480036,,,
Gabriel Vilardi,26,"C,RW",WPG,"$7,500,000",15.04,2.84,0.01,79,79,15.04,2.84,0.01,17.88,30,31,61,10,9,19,0,0,0,30,52,19,78,106936,155,2,-11,168,322,21741,8480014,,,
Bo Horvat,30,C,NYI,"$8,500,000",15.99,2.77,1.02,78,78,15.99,2.77,1.02,19.78,30,31,61,7,7,14,1,0,1,83,43,21,681,11248348,211,-3,-65,203,447,2250225,8477500,,,
Roope Hintz,29,C,DAL,"$8,450,000",12.97,2.60,1.15,75,75,12.97,2.60,1.15,16.72,29,32,61,8,11,19,2,0,2,48,44,24,374,12163819,153,8,-154,251,358,2433191,8478449,,,
Jonathan Marchessault,35,RW,NSH,"$5,500,000",14.53,2.98,0.01,78,78,14.53,2.98,0.01,17.52,28,33,61,7,13,20,0,0,0,79,24,29,15,100871,198,-8,151,111,484,20541,8476539,,,
Pavel Buchnevich,30,"C,LW,RW",STL,"$8,000,000",15.41,2.29,1.20,76,76,15.41,2.29,1.20,18.90,24,37,61,5,10,15,1,0,1,46,31,30,83,12911771,146,7,-48,189,284,2582683,8477402,,,
Ryan Nugent-Hopkins,32,"C,LW",EDM,"$5,125,000",13.92,2.94,1.72,78,78,13.92,2.94,1.72,18.57,22,39,61,7,19,26,1,1,2,33,40,25,237,18913471,153,9,47,139,391,3783083,8476454,,,
Jared McCann,29,"C,LW",SEA,"$5,000,000",12.97,2.45,1.43,80,80,12.97,2.45,1.43,16.85,27,33,60,6,12,18,1,1,2,49,41,19,96,16171678,191,-1,19,147,363,3234720,8477955,,,
Gabriel Landeskog,33,LW,COL,"$7,000,000",14.00,3.25,0.00,71,71,14.00,3.25,0.00,17.25,27,33,60,11,9,20,0,0,0,111,42,42,249,226,187,11,296,69,641,476,8476455,,,
Andrei Svechnikov,25,"LW,RW",CAR,"$7,750,000",14.24,3.04,0.03,73,73,14.24,3.04,0.03,17.31,25,35,60,9,12,21,0,0,0,156,25,55,2,287576,184,2,427,38,760,57875,8480830,,,
Troy Terry,28,RW,ANA,"$7,000,000",15.88,2.72,0.12,75,75,15.88,2.72,0.12,18.72,23,37,60,6,9,15,0,0,0,10,30,19,10,1246835,173,-7,-147,250,186,249688,8478873,,,
Mats Zuccarello,38,RW,MIN,"$4,125,000",15.95,3.19,0.02,62,62,15.95,3.19,0.02,19.17,14,36,50,4,16,20,0,0,0,30,44,20,15,191915,127,0,-198,272,134,38654,8475692,,,
Brock Nelson,34,C,COL,"$7,500,000",15.22,2.27,0.79,80,80,15.22,2.27,0.79,18.28,27,32,59,4,7,11,1,0,1,38,46,21,516,8886836,183,-3,-248,312,264,1777835,8475754,,,
Matthew Knies,23,LW,TOR,"$7,750,000",14.83,2.70,1.07,77,77,14.83,2.70,1.07,18.61,27,32,59,6,11,17,0,1,1,182,40,43,0,11671812,152,6,315,63,659,2334708,8482720,,,
Sean Monahan,31,C,CBJ,"$5,500,000",14.39,2.52,1.45,80,80,14.39,2.52,1.45,18.35,24,35,59,7,9,16,1,1,2,41,47,20,716,16347722,165,4,-228,296,284,3270055,8477497,,,
Patrick Kane,37,RW,DET,"$3,000,000",14.85,2.79,0.01,73,73,14.85,2.79,0.01,17.65,21,38,59,6,17,23,0,0,0,19,23,14,4,103108,172,-14,-102,225,231,20944,8474141,,,
Adam Fantilli,21,C,CBJ,"$950,000",15.81,2.25,0.23,82,82,15.81,2.25,0.23,18.28,30,28,58,5,5,10,0,0,0,116,55,23,397,2636910,206,-7,-43,186,469,527861,8484166,,,
Timo Meier,29,"LW,RW",NJ,"$8,800,000",15.87,1.89,0.03,79,79,15.87,1.89,0.03,17.79,30,28,58,9,7,16,0,0,0,137,56,41,15,294399,238,-1,422,39,755,59299,8478414,,,
Claude Giroux,38,"LW,RW",OTT,"$2,000,000",13.50,2.33,2.09,81,81,13.50,2.33,2.09,17.92,19,39,58,4,14,18,1,1,2,60,37,21,453,23889271,143,-5,-74,209,259,4778270,8473512,,,
John Carlson,36,D,WSH,"$8,000,000",18.04,3.01,2.66,80,80,18.04,3.01,2.66,23.72,10,48,58,4,19,23,0,1,1,51,148,24,0,30070643,166,5,385,46,632,6014495,8474590,,,
Bryan Rust,33,RW,PIT,"$5,125,000",15.41,2.51,1.25,71,71,15.41,2.51,1.25,19.17,27,30,57,4,10,14,1,0,1,65,53,21,6,12586591,183,-4,17,148,350,2517667,8475810,,,
Evgeni Malkin,39,"C,LW",PIT,"$6,100,000",14.94,2.45,0.01,74,74,14.94,2.45,0.01,17.41,19,38,57,4,12,16,0,0,0,35,45,45,314,127091,139,-12,8,155,352,25772,8471215,,,
Mark Stone,33,RW,VGK,"$9,500,000",15.10,2.59,1.22,68,68,15.10,2.59,1.22,18.91,19,38,57,4,12,16,1,1,2,37,45,17,4,11678167,129,9,-176,261,156,2335927,8475913,,,
Jonathan Huberdeau,32,"C,LW",CGY,"$10,500,000",14.96,2.68,0.91,80,80,14.96,2.68,0.91,18.55,18,39,57,6,12,18,1,0,1,54,51,33,11,10316545,132,-11,-12,170,332,2063597,8476456,,,
Kirill Marchenko,25,RW,CBJ,"$3,850,000",15.76,2.53,0.07,79,79,15.76,2.53,0.07,18.37,29,27,56,7,8,15,0,0,0,55,45,17,16,786487,194,3,-18,174,315,157660,8480893,,,
Tyler Toffoli,33,"LW,RW",SJ,"$6,000,000",13.48,2.90,0.07,75,75,13.48,2.90,0.07,16.45,29,27,56,8,9,17,0,0,0,54,23,14,14,779650,200,-8,-62,199,270,156287,8475726,,,
Brock Boeser,28,RW,VAN,"$7,250,000",14.84,3.16,0.01,78,78,14.84,3.16,0.01,18.01,26,30,56,9,10,19,0,0,0,70,34,16,16,110256,157,-2,-55,193,277,22380,8478444,,,
JJ Peterka,24,"LW,RW",UTA,"$7,700,000",15.20,2.77,0.02,77,77,15.20,2.77,0.02,17.98,26,30,56,6,9,15,0,0,0,29,18,27,3,173633,181,-1,-102,227,230,35047,8482175,,,
Will Smith,20,"C,RW",SJ,"$950,000",14.33,2.90,0.04,75,75,14.33,2.90,0.04,17.27,24,32,56,9,11,20,0,0,0,15,18,18,74,424331,147,-13,-193,268,139,85173,8484227,,,
Quinton Byfield,23,"C,LW",LA,"$6,250,000",15.12,2.54,1.12,78,78,15.12,2.54,1.12,18.79,24,32,56,8,6,14,1,0,1,79,33,39,292,12362142,164,14,43,141,387,2472823,8482124,,,
Dylan Cozens,24,C,OTT,"$7,100,000",14.14,2.43,0.81,81,81,14.14,2.43,0.81,17.37,23,33,56,6,9,15,1,0,1,166,40,47,523,9303778,187,2,150,112,662,1861243,8481528,,,
Mikhail Sergachev,27,D,UTA,"$8,500,000",18.80,3.03,2.75,78,78,18.80,3.03,2.75,24.58,10,46,56,3,21,24,0,1,1,67,143,35,0,30330832,141,-4,422,40,669,6066499,8479410,,,
Rickard Rakell,32,"C,LW,RW",PIT,"$5,000,000",16.04,2.49,0.01,80,80,16.04,2.49,0.01,18.53,28,27,55,8,6,14,0,0,0,122,65,17,15,88968,193,-1,129,119,461,18174,8476483,,,
Artturi Lehkonen,30,"LW,RW",COL,"$4,500,000",16.55,2.29,1.12,75,75,16.55,2.29,1.12,19.95,27,28,55,5,7,12,1,0,1,55,43,29,2,11849603,157,16,-62,200,270,2370239,8477476,,,
Tomas Hertl,32,"C,LW",VGK,"$8,137,500",14.37,2.56,0.45,76,76,14.37,2.56,0.45,17.37,26,29,55,10,10,20,0,0,0,95,58,21,553,4802557,163,-2,88,129,432,960992,8476881,,,
Alexis Lafreniere,24,"LW,RW",NYR,"$7,450,000",15.63,2.25,0.01,82,82,15.63,2.25,0.01,17.88,24,31,55,4,6,10,0,0,0,118,28,32,16,78975,175,-5,29,144,361,16125,8482109,,,
Ryan O'Reilly,34,C,NSH,"$4,500,000",14.86,2.74,1.10,78,78,14.86,2.74,1.10,18.70,22,33,55,7,10,17,1,0,1,23,59,20,659,12092479,145,-3,-290,335,222,2418962,8475158,,,
Pierre-Luc Dubois,27,"C,LW",WSH,"$8,500,000",14.99,2.08,0.11,82,82,14.99,2.08,0.11,17.17,22,33,55,6,6,12,0,0,0,72,54,63,530,1250479,150,9,178,101,522,250522,8479400,,,
William Eklund,23,LW,SJ,"$863,333",15.91,2.85,1.08,76,76,15.91,2.85,1.08,19.84,20,35,55,8,10,18,0,1,1,51,57,29,24,11595877,148,-14,-9,166,336,2319481,8482667,,,
Pavel Zacha,28,"C,LW",BOS,"$4,750,000",14.50,2.49,1.66,81,81,14.50,2.49,1.66,18.65,20,35,55,5,8,13,1,0,1,72,32,19,354,19008274,132,3,-192,267,153,3802031,8478401,,,
Dougie Hamilton,32,D,NJ,"$9,000,000",17.03,2.68,0.28,80,80,17.03,2.68,0.28,19.99,15,40,55,8,15,23,0,0,0,82,98,42,0,3176526,212,6,498,27,745,635691,8476462,,,
Zach Hyman,33,"LW,RW",EDM,"$5,500,000",15.57,2.95,0.06,68,68,15.57,2.95,0.06,18.58,32,22,54,9,5,14,0,0,0,59,25,28,3,610592,191,21,-17,173,315,122470,8475786,,,
Marco Rossi,24,C,MIN,"$5,000,000",15.57,2.38,0.07,82,82,15.57,2.38,0.07,18.01,24,30,54,7,8,15,0,0,0,54,43,34,419,774953,143,-2,-217,285,295,155387,8482079,,,
Matty Beniers,23,C,SEA,"$7,142,857",15.95,2.49,0.43,82,82,15.95,2.49,0.43,18.87,23,31,54,6,7,13,0,0,0,52,67,14,540,4967847,155,-5,-292,337,220,994021,8482665,,,
Kent Johnson,23,"C,LW,RW",CBJ,"$1,800,000",14.22,2.54,0.36,78,78,14.22,2.54,0.36,17.12,22,32,54,5,11,16,0,1,1,11,37,17,7,3948073,136,-3,-246,311,86,789896,8482660,,,
Cole Perfetti,24,"C,LW,RW",WPG,"$3,250,000",13.56,2.60,0.00,80,80,13.56,2.60,0.00,16.16,22,32,54,6,11,17,0,0,0,64,40,19,26,49,160,7,-76,210,256,337,8482149,,,
